Country,Response_measure,date_start,date_end,anyo,inicio,fin
Portugal,NonEssentialShops,2021-01-15,2021-03-31,3,15-01-2021,31-03-2021
Portugal,RegionalStayHomeOrder,2020-04-02,2020-05-03,4,02-04-2020,03-05-2020
Portugal,RestaurantsCafes,2020-03-15,2020-05-31,5,15-03-2020,31-05-2020
Portugal,RestaurantsCafes,2020-11-15,2021-03-31,5,15-11-2020,31-03-2021
Portugal,StayHomeOrder,2021-01-15,NA,6,15-01-2021,NA
Portugal,Teleworking,2020-03-16,2020-05-31,7,16-03-2020,31-05-2020
Portugal,Teleworking,2021-01-15,NA,7,15-01-2021,NA
Romania,EntertainmentVenues,2020-03-18,2020-05-13,2,18-03-2020,13-05-2020
Romania,NonEssentialShops,2020-03-22,2020-05-13,3,22-03-2020,13-05-2020
Romania,RestaurantsCafes,2020-03-18,2020-05-31,5,18-03-2020,31-05-2020
Romania,Teleworking,2020-03-16,NA,7,16-03-2020,NA
Slovakia,BanOnAllEvents,2020-03-10,2020-06-03,1,10-03-2020,03-06-2020
Slovakia,EntertainmentVenues,2020-03-16,2020-05-20,2,16-03-2020,20-05-2020
Slovakia,EntertainmentVenues,2020-10-15,2020-11-15,2,15-10-2020,15-11-2020
Slovakia,EntertainmentVenues,2020-12-19,NA,2,19-12-2020,NA
Slovakia,NonEssentialShops,2020-03-16,2020-04-21,3,16-03-2020,21-04-2020
Slovakia,RestaurantsCafes,2021-01-01,NA,5,01-01-2021,NA
Slovakia,StayHomeOrder,2020-12-30,2021-02-28,6,30-12-2020,28-02-2021
Slovakia,Teleworking,2020-11-02,NA,7,02-11-2020,NA
Slovenia,BanOnAllEvents,2020-10-17,NA,1,17-10-2020,NA
Slovenia,EntertainmentVenues,2020-03-15,2020-04-28,2,15-03-2020,28-04-2020
Slovenia,NonEssentialShops,2020-03-15,2020-04-20,3,15-03-2020,20-04-2020
Slovenia,NonEssentialShops,2020-10-24,2020-12-14,3,24-10-2020,14-12-2020
Slovenia,RestaurantsCafes,2020-03-15,2020-05-03,5,15-03-2020,03-05-2020
Slovenia,StayHomeOrder,2020-03-19,2020-05-04,6,19-03-2020,04-05-2020
Slovenia,Teleworking,2020-03-04,NA,7,04-03-2020,NA
Slovenia,WorkplaceClosures,2020-03-15,2020-05-04,8,15-03-2020,04-05-2020
Spain,BanOnAllEvents,2020-03-14,2020-06-01,1,14-03-2020,01-06-2020
Spain,BanOnAllEvents,2020-10-25,NA,1,25-10-2020,NA
Spain,EntertainmentVenues,2020-03-14,2020-05-10,2,14-03-2020,10-05-2020
Spain,EntertainmentVenues,2020-08-14,NA,2,14-08-2020,NA
Spain,RestaurantsCafes,2020-03-14,2020-05-03,5,14-03-2020,03-05-2020
Spain,StayHomeOrder,2020-03-14,2020-05-03,6,14-03-2020,03-05-2020
Spain,Teleworking,2020-03-09,2020-04-12,7,09-03-2020,12-04-2020
Sweden,BanOnAllEvents,2020-06-14,NA,1,14-06-2020,NA
Sweden,Teleworking,2020-03-16,NA,7,16-03-2020,NA
Switzerland,BanOnAllEvents,2020-03-20,2020-06-05,1,20-03-2020,05-06-2020
Switzerland,BanOnAllEvents,2021-01-18,NA,1,18-01-2021,NA
Switzerland,EntertainmentVenues,2020-12-22,2021-02-28,2,22-12-2020,28-02-2021
Switzerland,NonEssentialShops,2020-03-20,2020-05-11,3,20-03-2020,11-05-2020
Switzerland,NonEssentialShops,2021-01-18,2021-03-01,3,18-01-2021,01-03-2021
Switzerland,RestaurantsCafes,2020-03-16,2020-06-06,5,16-03-2020,06-06-2020
Switzerland,RestaurantsCafes,2020-12-22,NA,5,22-12-2020,NA
Switzerland,Teleworking,2020-03-16,2021-01-17,7,16-03-2020,17-01-2021
United Kingdom,BanOnAllEvents,2020-09-14,2020-12-01,1,14-09-2020,01-12-2020
United Kingdom,EntertainmentVenues,2020-03-16,2020-07-02,2,16-03-2020,02-07-2020
United Kingdom,EntertainmentVenues,2020-11-05,2020-12-01,2,05-11-2020,01-12-2020
United Kingdom,NonEssentialShops,2020-03-23,2020-05-09,3,23-03-2020,09-05-2020
United Kingdom,NonEssentialShops,2020-11-05,2020-12-01,3,05-11-2020,01-12-2020
United Kingdom,RegionalStayHomeOrder,2020-10-23,2020-11-08,4,23-10-2020,08-11-2020
United Kingdom,RegionalStayHomeOrder,2020-12-20,2021-04-11,4,20-12-2020,11-04-2021
United Kingdom,RestaurantsCafes,2020-03-16,2020-07-02,5,16-03-2020,02-07-2020
United Kingdom,RestaurantsCafes,2020-11-05,2020-12-01,5,05-11-2020,01-12-2020
United Kingdom,StayHomeOrder,2020-03-24,2020-05-09,6,24-03-2020,09-05-2020
United Kingdom,StayHomeOrder,2020-11-05,2020-12-01,6,05-11-2020,01-12-2020
United Kingdom,Teleworking,2020-03-16,2020-05-09,7,16-03-2020,09-05-2020
